ID,Name,Price,Brand,Model,Year,Kilometers,Gearbox,Fuel,Status,CC,Seating Capacity
12688984,2013 BMW X3 Xdrive 30D F25,14999,BMW,X3,2013,258777,Automatic,Diesel, Used,2993,5
12689012,2020 Volkswagen Tiguan Allspace 132 TSI Comfortline 5NA MY20,46990,Volkswagen,Tiguan,2020,28288,Automatic,Premium Unleaded Petrol, Used,1984,7
12689015,2019 Hyundai Tucson Active X (fwd) TL3 MY19,31500,Hyundai,Tucson,2019,59941,Automatic,Unleaded Petrol, Used,1999,5
12689038,2022 Volkswagen Arteon 140TSI Elegance Shooting Brake 3H MY22,65960,Volkswagen,Arteon,2022,1973,Automatic,Premium Unleaded Petrol, Demo,1984,5
12689041,2018 Mitsubishi Triton GLX (4X4) MQ MY18,33880,Mitsubishi,Triton,2018,114808,Manual,Diesel, Used,2440,4
12689104,2016 Holden Colorado LTZ (4X2) RG MY16,27190,Holden,Colorado,2016,187161,Automatic,Diesel, Used,2776,5
12689128,2018 Holden Astra LS BL MY17,16766,Holden,Astra,2018,76777,Automatic,Unleaded Petrol, Used,1399,5
12689133,2016 Hyundai Iload 3S Liftback TQ Series II (TQ3) MY1,27990,Hyundai,Iload,2016,99254,Manual,Premium Unleaded Petrol, Used,2359,3
12689144,2018 Toyota Landcruiser Sahara (4X4) VDJ200R MY16,122900,Toyota,Landcruiser,2018,149000,Automatic,Diesel, Used,4461,7
12689191,2014 Toyota Yaris YRS NCP131R,12499,Toyota,Yaris,2014,194445,Automatic,Unleaded Petrol, Used,1497,5
12689193,2010 Mazda CX-9 Luxury 10 Upgrade,16990,Mazda,CX-9,2010,195198,Automatic,Unleaded Petrol, Used,3726,7
12689198,2000 Ford Courier GL PE,2300,Ford,Courier,2000,263928,Automatic,Unleaded Petrol, Used,2606,5
12689216,2018 Toyota Camry SL ASV70R,32980,Toyota,Camry,2018,90979,Automatic,Unleaded Petrol, Used,2494,5
12689224,2018 Nissan Navara ST (4X4) Black Edition D23 Series III MY18,49990,Nissan,Navara,2018,61337,Automatic,Diesel, Used,2298,5
12689327,2012 Jeep Patriot Sport (4X2) MK MY12,12990,Jeep,Patriot,2012,136454,Automatic,Premium Unleaded Petrol, Used,1998,5
12689334,2018 Ford Ranger XL 3.2 (4X4) PX Mkii MY18,36990,Ford,Ranger,2018,139626,Automatic,Diesel, Used,3198,2
12689340,2017 Toyota Hilux Workmate TGN121R,30998,Toyota,Hilux,2017,111566,Automatic,Unleaded Petrol, Used,2694,5
12689371,2000 Toyota Landcruiser GXL (4X4) FZJ105R,28500,Toyota,Landcruiser,2000,188200,Automatic,Unleaded Petrol, Used,4477,8
12689390,2012 Holden Cruze CD JH MY12,6000,Holden,Cruze,2012,146000,Automatic,Unleaded Petrol, Used,1796,5
12689407,2015 Ford Ranger XLT 3.2 HI-Rider (4X2) PX Mkii,38500,Ford,Ranger,2015,125000,Automatic,Diesel, Used,3198,5
12689482,2009 Toyota Hilux SR5 (4X4) GGN25R 08 Upgrade,26000,Toyota,Hilux,2009,290000,Automatic,Unleaded Petrol, Used,3956,5
12689502,2012 Jeep Grand Cherokee Limited (4X4) WK MY13,22980,Jeep,Grand Cherokee,2012,85811,Automatic,Diesel, Used,2987,5
12689511,2017 Mitsubishi Pajero Sport Exceed (4X4) 7 Seat MY17,42990,Mitsubishi,Pajero Sport,2017,82459,Automatic,Diesel, Used,2442,7
12689515,2013 Volkswagen Golf 103 TSI Highline AU,18795,Volkswagen,Golf,2013,73834,Automatic,Premium Unleaded Petrol, Used,1395,5
12689517,2014 Hyundai Santa FE Highlander Crdi (4X4) DM,31299,Hyundai,Santa FE,2014,86908,Automatic,Diesel, Used,2199,7
12689534,2014 Suzuki Swift GL FZ,10000,Suzuki,Swift,2014,144000,Manual,Unleaded Petrol, Used,1372,5
12689538,2011 Volkswagen Amarok TDI400 (4X4) 2H MY12,13000,Volkswagen,Amarok,2011,278400,Manual,Diesel, Used,1968,5
12689554,2021 Mini 3D Hatch Cooper S JCW Sport F56,63000,Mini,3D Hatch,2021,9200,Front,Premium Unleaded Petrol, Used,1998,4
12689571,2013 Holden Colorado LT (4X4) RG,35000,Holden,Colorado,2013,126000,Manual,Diesel, Used,2776,5
12689579,2016 Toyota Camry Atara S Hybrid AVV50R MY15,28800,Toyota,Camry,2016,86000,Automatic,Unleaded Petrol/Electric, Used,2494,5
12689592,2012 Mazda 2 NEO DE MY12,10000,Mazda,2,2012,94711,Manual,Unleaded Petrol, Used,1498,5
12689599,2018 Mitsubishi Eclipse Cross ES (2WD) YA MY18,27500,Mitsubishi,Eclipse Cross,2018,80000,Automatic,Unleaded Petrol, Used,1499,5
12689605,2014 Mercedes-Benz A250 Sport 176 MY14,33500,Mercedes-Benz,A250,2014,83500,Automatic,Premium Unleaded Petrol, Used,1991,5
12689630,2021 Ford Puma ST-Line MY21.75,30988,Ford,Puma,2021,5895,Automatic,Premium Unleaded Petrol, Used,999,5
12689632,2017 Toyota RAV4 GX (4X4) ASA44R MY17,29500,Toyota,RAV4,2017,95290,Automatic,Unleaded Petrol, Used,2494,5
